true_severity,pred_severity,agent_total_skill_count,reference_total_skill_count,latency_s,error
Medium,Medium,4.0,4,54.23705506324768,
High,High,9.0,8,32.97083783149719,
High,High,5.0,6,35.55611991882324,
Medium,High,5.0,4,40.1776282787323,
Low,Medium,3.0,2,36.26067519187927,
Low,Low,1.0,1,60.821414947509766,
Low,Low,3.0,2,42.90196084976196,
High,High,9.0,7,29.855435848236084,
Low,Medium,3.0,2,41.797175884246826,
Low,Medium,3.0,2,36.16969609260559,
Low,Low,2.0,2,30.08448314666748,
High,High,7.0,6,87.86731004714966,
Medium,High,7.0,6,38.18554186820984,
Low,Low,5.0,4,29.400432109832764,
Medium,Medium,4.0,4,47.24323892593384,
Low,High,4.0,2,113.6107668876648,
Low,Low,2.0,2,124.71800899505617,
Low,Medium,5.0,3,83.55562329292297,
Low,High,4.0,2,161.03131484985352,
Low,Low,4.0,5,235.03743720054624,
Low,Low,2.0,1,37.775442123413086,
High,High,7.0,6,51.28377604484558,
Low,Medium,4.0,3,72.25063705444336,
Low,Medium,5.0,3,27.46909499168396,
Low,Medium,5.0,3,43.087334871292114,
High,High,9.0,10,33.624507904052734,
Medium,High,6.0,4,51.47552680969238,
Low,Low,1.0,1,32.29135298728943,
Low,Low,0.0,0,33.27992486953735,
High,High,8.0,8,35.42147922515869,
Low,Low,1.0,0,58.57323503494263,
Medium,Medium,4.0,4,45.91226601600647,
Low,Low,2.0,2,127.0294668674469,
Low,Medium,5.0,3,47.15607213973999,
Medium,Medium,3.0,3,108.5211582183838,
Medium,Medium,4.0,4,51.36831593513489,
Medium,High,5.0,3,43.25740909576416,
Medium,Low,2.0,4,60.46779680252075,
Low,Medium,4.0,2,50.28889989852905,
High,Medium,3.0,5,32.763131856918335,
Low,Medium,4.0,1,55.293773889541626,
Low,Low,2.0,2,35.117429971694946,
Low,Low,2.0,2,122.88852405548096,
Medium,,,6,,Request timed out.
High,Medium,4.0,5,106.46182799339294,
Low,Medium,5.0,3,42.15193080902099,
Low,Medium,5.0,3,218.5593090057373,
High,High,6.0,6,33.77431011199951,
High,High,10.0,8,36.42191410064697,
High,High,10.0,8,142.7444338798523,
Low,Medium,3.0,2,42.38632321357727,
High,High,6.0,5,29.283931970596313,
Medium,High,6.0,4,32.047117710113525,
Medium,High,5.0,4,30.101498126983643,
Low,Medium,4.0,2,39.72843527793884,
High,High,12.0,10,45.208595752716064,
Medium,Medium,4.0,4,125.07408690452576,
High,Medium,3.0,4,41.58928203582764,
Medium,High,8.0,6,59.061075925827026,
Low,Low,2.0,2,63.58634901046753,
Low,Medium,5.0,3,51.813969135284424,
Low,Medium,3.0,2,207.25012516975403,
High,High,6.0,6,76.48680925369263,
Medium,High,6.0,5,116.36660408973694,
Low,Low,3.0,3,51.3569872379303,
Medium,High,5.0,4,91.54168224334715,
Medium,High,12.0,7,46.18214011192322,
Low,Low,2.0,1,72.40193200111389,
Low,Low,1.0,1,47.60188698768616,
Low,Medium,4.0,2,100.2438530921936,
Medium,High,7.0,5,115.60655999183656,
Medium,Medium,5.0,5,66.45282196998596,
Medium,Medium,4.0,4,40.85235810279846,
Medium,Medium,4.0,5,49.76111388206482,
Medium,Low,3.0,4,49.86027479171753,
High,High,6.0,6,30.818768978118896,
Medium,High,4.0,3,91.85501599311829,
High,High,5.0,5,45.87098407745361,
Low,Low,2.0,1,57.02942681312561,
Medium,Medium,3.0,3,41.983442068099976,
High,High,5.0,5,32.76168608665466,
Medium,Medium,4.0,5,76.96656513214111,
Low,Low,1.0,1,43.651922941207886,
Low,Medium,3.0,2,44.12975287437439,
Medium,Low,5.0,6,50.684080839157104,
Low,Low,2.0,2,66.86132717132568,
Medium,Low,2.0,3,30.100399255752563,
Low,Low,2.0,2,58.17651724815369,
Medium,Medium,5.0,3,49.13261008262634,
High,High,11.0,9,54.86794400215149,
Low,Medium,5.0,2,51.90217876434326,
High,High,6.0,7,36.67857003211975,
Medium,High,6.0,4,29.385634899139404,
Low,Medium,5.0,3,26.31165909767151,
Medium,Medium,5.0,5,29.675878047943115,
High,High,5.0,6,28.78510594367981,
Low,Medium,5.0,3,33.789273738861084,
Medium,Medium,5.0,5,78.53585982322693,
High,Medium,4.0,5,32.45515179634094,
Medium,Medium,4.0,4,32.353371143341064,
Low,Medium,6.0,5,44.64003109931946,
Low,Low,0.0,1,32.76436996459961,
Low,Low,1.0,2,26.005554914474487,
Medium,,,4,,"Error code: 400 - {'error': {'message': ""Tool 1 function has invalid 'parameters' schema: ['job_category', 'tech_machine_learning', 'tech_sql', 'tech_data_analysis', 'tech_cloud_computing', 'tech_deep_learning', 'tech_natural_language_processing', 'tech_computer_vision', 'tech_data_engineering', 'tech_devops', 'tech_data_visualization', 'tech_statistical_analysis', 'tech_feature_engineering', 'tech_model_deployment', 'tech_api_development', 'tech_cybersecurity', 'tech_networking', 'tech_mlops', 'tech_data_pipelines', 'tech_etl', 'prog_..."", 'type': 'invalid_request_error', 'param': None, 'code': '400'}}"
Medium,High,7.0,6,52.33488082885742,
