true_severity,pred_severity,agent_total_skill_count,reference_total_skill_count,latency_s,error
Medium,Medium,4,4,7.663275957107544,
High,Low,1,8,12.717797756195068,
High,Medium,3,6,11.357254266738892,
Medium,Medium,4,4,7.052603244781494,
Low,Low,2,2,4.129695177078247,
Low,Low,1,1,3.9511401653289795,
Low,Low,2,2,15.572850942611694,
High,High,7,7,7.668323993682861,
Low,Low,2,2,6.958186864852905,
Low,Low,2,2,9.16107988357544,
Low,Low,2,2,3.8402888774871826,
High,High,6,6,9.149787902832031,
Medium,Medium,5,6,12.652326107025146,
Low,Low,4,4,5.219002962112427,
Medium,Medium,4,4,12.79701566696167,
Low,Low,2,2,6.140676021575928,
Low,Low,2,2,10.543623924255371,
Low,Low,3,3,5.10161828994751,
Low,Low,2,2,3.685818910598755,
Low,Low,5,5,11.104245901107788,
Low,Low,1,1,7.948634147644043,
High,Medium,5,6,10.718983173370361,
Low,Low,3,3,4.121064901351929,
Low,Low,3,3,7.640888929367065,
Low,Low,3,3,8.216417074203491,
High,High,9,10,11.198115110397339,
Medium,Medium,4,4,6.626583814620972,
Low,Low,1,1,4.810614109039307,
Low,Low,0,0,3.271764039993286,
High,Low,5,8,12.57620096206665,
Low,Low,0,0,10.351393222808838,
Medium,Medium,4,4,4.199718236923218,
Low,Low,2,2,5.62895393371582,
Low,Low,3,3,4.8610289096832275,
Medium,Medium,3,3,8.546957969665527,
Medium,Medium,4,4,13.921809196472168,
Medium,Medium,3,3,5.479709148406982,
Medium,Low,3,4,11.946568012237549,
Low,Low,2,2,4.675189971923828,
High,Medium,4,5,8.273042917251587,
Low,Low,1,1,9.586052179336548,
Low,Low,2,2,6.858953952789307,
Low,Low,2,2,4.3984739780426025,
Medium,Medium,6,6,9.716897010803223,
High,Medium,4,5,8.400943279266357,
Low,Low,3,3,5.219232797622681,
Low,Low,3,3,5.4231438636779785,
High,Medium,5,6,9.008705854415894,
High,Low,3,8,8.427545070648193,
High,Low,3,8,13.906192064285278,
Low,Low,2,2,6.061483144760132,
High,Low,2,5,8.939724922180176,
Medium,Low,3,4,9.949908018112183,
Medium,Medium,4,4,9.523697137832642,
Low,Low,1,2,10.236812829971313,
High,High,8,10,13.22165822982788,
Medium,Low,3,4,10.854481220245361,
High,Low,2,4,8.682405948638916,
Medium,Medium,6,6,10.13434386253357,
Low,Low,1,2,8.623463869094849,
Low,Low,3,3,4.784373998641968,
Low,Low,2,2,5.021750211715698,
High,High,6,6,8.489322900772095,
Medium,Medium,5,5,11.977004051208496,
Low,Low,3,3,5.83394718170166,
Medium,Medium,4,4,9.416829824447632,
Medium,Low,4,7,9.930446147918701,
Low,Low,1,1,4.975174188613892,
Low,Low,1,1,10.436437129974365,
Low,Low,1,2,10.226238012313843,
Medium,Medium,5,5,8.974980115890503,
Medium,Medium,5,5,6.715734004974365,
Medium,Medium,3,4,11.778503894805908,
Medium,Medium,5,5,6.875877857208252,
Medium,Medium,4,4,12.490571975708008,
High,High,6,6,4.707516193389893,
Medium,Medium,3,3,5.936145782470703,
High,High,4,5,11.587699174880981,
Low,Low,1,1,4.585673093795776,
Medium,Medium,3,3,4.193257093429565,
High,High,5,5,4.091814756393433,
Medium,Low,2,5,12.796358823776245,
Low,Low,1,1,3.9899721145629883,
Low,Low,2,2,3.7847118377685547,
Medium,Low,5,6,7.164361953735352,
Low,Low,2,2,4.913731098175049,
Medium,Medium,3,3,4.80778694152832,
Low,Low,1,2,9.006723880767822,
Medium,Medium,3,3,5.219930171966553,
High,Low,4,9,18.2240149974823,
Low,Low,2,2,6.139116048812866,
High,Medium,4,7,9.724074840545654,
Medium,Medium,4,4,6.140279769897461,
Low,Low,3,3,5.627971172332764,
Medium,Medium,5,5,5.144169092178345,
High,Medium,3,6,10.128272771835327,
Low,Low,3,3,5.565826892852783,
Medium,Medium,5,5,7.613603830337524,
High,High,5,5,6.242655992507935,
Medium,Medium,4,4,10.851073980331421,
Low,Low,5,5,9.928307056427002,
Low,Low,1,1,5.012660026550293,
Low,Low,2,2,7.427639961242676,
Medium,Low,1,4,11.51016092300415,
Medium,Low,0,6,8.903333902359009,
High,Medium,4,10,10.612963914871216,
Medium,Medium,4,4,6.171903848648071,
Medium,Medium,5,5,6.857550144195557,
High,High,6,6,6.037942171096802,
Medium,Medium,5,5,10.441813945770264,
High,High,6,6,11.363129138946533,
High,Low,5,11,16.144126892089844,
High,High,8,11,15.59316897392273,
Low,Low,2,2,8.036572217941284,
High,High,5,5,9.431420087814331,
High,Medium,4,5,8.701642036437988,
Low,Low,3,3,4.944106101989746,
Medium,Medium,5,5,5.515376806259155,
High,Low,2,6,13.012487888336182,
Medium,Medium,3,3,5.833696126937866,
Medium,Medium,3,3,5.628159046173096,
Low,Low,1,1,4.9611289501190186,
Medium,Low,2,3,10.547122955322266,
Medium,Low,3,4,11.250794887542725,
Low,Low,0,0,3.825524091720581,
High,High,6,6,7.34363579750061,
Low,Low,2,2,5.858590841293335,
Low,Low,2,2,3.4929161071777344,
Low,Low,1,1,4.436935901641846,
Low,Low,1,1,3.1325089931488037,
Low,Low,1,1,2.6570448875427246,
Low,Low,3,3,7.794835805892944,
Medium,Medium,4,4,9.023537158966064,
Low,Low,1,1,5.70021390914917,
Medium,Low,3,4,11.009024620056152,
Medium,Medium,5,5,10.114197969436646,
Low,Low,3,3,3.849663019180298,
Low,Low,2,2,4.960952043533325,
High,Low,2,7,13.158976554870605,
High,Medium,4,5,9.706973791122437,
Medium,Low,1,5,12.148135900497437,
Medium,Medium,3,3,5.867327928543091,
Medium,Medium,5,5,6.76883602142334,
High,High,6,6,9.109288930892944,
Low,Low,2,2,4.745894908905029,
High,Low,2,13,11.911479949951172,
Low,Low,2,2,6.880337953567505,
Low,Low,3,3,7.576117992401123,
High,High,8,8,6.521226167678833,
Medium,Medium,3,3,10.837902069091797,
Medium,Medium,4,4,5.87123703956604,
Low,Low,0,3,10.034226894378662,
Low,Low,2,2,5.024069786071777,
Low,Low,2,2,8.932563066482544,
High,Medium,5,6,8.761472940444946,
Medium,Medium,3,3,12.386508703231812,
High,High,6,6,7.402039051055908,
Medium,Medium,4,4,11.020784854888916,
Low,Low,1,1,10.911630868911743,
Low,Low,2,2,5.802135229110718,
High,High,6,6,4.26095724105835,
High,High,4,4,6.862483978271484,
High,High,7,7,10.6436288356781,
Medium,Low,0,3,8.528975009918213,
Medium,Medium,4,4,5.901827096939087,
Medium,Medium,7,7,11.155900716781616,
Low,Low,3,3,8.01769208908081,
High,High,4,4,9.646695852279663,
Medium,Medium,3,3,5.97900390625,
Medium,Medium,7,7,7.716135025024414,
High,High,5,5,6.936836242675781,
Low,Low,4,4,8.036220073699951,
Medium,Medium,7,7,9.451399803161621,
Medium,Medium,6,6,6.978111982345581,
Medium,Medium,3,4,13.59399676322937,
Low,Low,3,3,5.071619987487793,
Medium,Medium,5,5,4.544961214065552,
High,High,8,9,9.827544212341309,
Low,Low,1,1,5.318756103515625,
High,Low,2,10,10.748666763305664,
Medium,Medium,4,4,5.468371868133545,
Medium,Medium,7,7,11.418997049331665,
Medium,Medium,5,4,9.62155795097351,
Medium,Low,1,4,10.646746158599854,
Low,Low,2,2,7.776700973510742,
Medium,Medium,4,4,5.827165842056274,
Medium,Medium,3,4,9.627026319503784,
High,Low,1,5,10.340368032455444,
Low,Low,3,3,6.587001085281372,
High,High,5,7,8.842858076095581,
Medium,Medium,5,5,5.878054141998291,
High,High,6,7,13.000708818435669,
Low,Low,3,3,10.72434687614441,
Low,Low,3,3,10.644479036331177,
Low,Low,2,2,11.561249017715454,
Medium,Low,3,6,9.325664043426514,
Low,Low,3,3,4.701107978820801,
High,High,8,8,10.340069770812988,
Low,Low,1,1,3.6476590633392334,
Low,Low,1,1,4.740118026733398,
High,Medium,3,4,8.818287134170532,
Low,Low,2,2,4.177689790725708,
Low,Low,2,2,5.880695104598999,
Medium,Medium,6,6,10.187655925750732,
Low,Low,1,1,4.500586032867432,
High,Low,1,5,9.069877862930298,
Low,Low,1,1,7.433422088623047,
High,Medium,3,4,7.341681241989136,
High,Low,1,6,10.031217098236084,
Low,Low,1,1,8.698119163513184,
Low,Low,2,2,8.919513702392578,
High,Low,1,5,14.361667156219482,
Low,Low,1,1,27.803618669509888,
Low,Low,3,3,6.038089990615845,
Low,Low,0,0,3.9886882305145264,
Medium,Medium,5,5,11.671119213104248,
High,Low,2,7,17.35429811477661,
Low,Low,2,2,8.03159236907959,
Low,Low,2,2,3.988240957260132,
Low,Low,2,2,5.309895038604736,
High,High,7,7,6.059617042541504,
Low,Low,2,2,3.5677990913391113,
Medium,Medium,3,3,5.4638190269470215,
Low,Low,3,3,6.910656929016113,
High,Medium,4,10,8.596375942230225,
Low,Low,2,2,9.831351041793823,
High,Low,2,5,11.590923070907593,
Low,Low,3,3,4.683802127838135,
Medium,Medium,4,4,5.628353118896484,
Low,Low,1,1,7.039905071258545,
High,High,7,7,12.190343856811523,
Medium,Low,2,4,8.670588970184326,
Low,Low,1,1,8.022756099700928,
Low,Low,1,1,8.307729005813599,
Medium,Medium,5,5,10.831825971603394,
High,High,7,7,10.098963022232056,
High,High,6,6,6.6867101192474365,
Medium,Low,2,4,12.462106943130493,
Medium,Medium,4,4,10.575238227844238,
Low,Low,2,2,4.342578172683716,
Low,Low,0,0,7.419046878814697,
Medium,Medium,4,4,4.294620990753174,
Low,Low,2,2,3.3736767768859863,
Low,Low,0,0,7.164174795150757,
Low,Low,1,1,3.5795509815216064,
High,Low,2,5,9.620537757873535,
Medium,Medium,4,4,3.687343120574951,
Low,Low,2,2,6.262470960617065,
Low,Low,1,1,4.990549802780151,
Low,Low,0,0,5.702059984207153,
Low,Low,1,1,5.079172134399414,
Medium,Medium,4,4,6.509556293487549,
High,High,6,6,8.200017929077148,
High,High,8,8,11.074621200561523,
High,Medium,5,6,9.197682857513428,
Medium,Medium,3,3,4.277245759963989,
Low,Low,3,3,8.283151149749756,
Medium,Medium,3,3,7.37605619430542,
Low,Low,3,5,9.20944094657898,
Low,Low,2,3,12.677886962890625,
Low,Low,3,3,4.825562953948975,
Low,Low,2,2,4.369513988494873,
High,Medium,5,6,10.05871319770813,
